cardTypeId,star,卡片名称,描述,伤害加成,攻速加成,生命加成,移速加成,护甲减伤加成,攻击范围加成,拾取范围加成,闪避加成,关卡奖励加成,暴击率加成,暴击伤害加成,幸运加成,击退加成
全面强化,1,全面强化,,1,0.5,15,0,0,-0.1,0.2,0,0,0,0,0,0
全面强化,2,全面强化,,1,0.5,15,0,0,-0.2,0.2,0,0,0,0,0,0
全面强化,3,全面强化,,2,1,20,0,0,-0.2,0.3,0,0,0,0,0,0
全面强化,4,全面强化,,2,1,20,0,0,-0.3,0.3,0,0,0,0,0,0
全面强化,5,全面强化,,3,2,30,0,0,-0.3,0.4,0,0,0,0,0,0
力量提升,1,力量提升,,1,0,0,0,0,0,0,0,0,0,0,0,0
力量提升,2,力量提升,,2,0,0,0,0,0,0,0,0,0,0,0,0
力量提升,3,力量提升,,3,0,0,0,0,0,0,0,0,0,0,0,0
力量提升,4,力量提升,,4,0,0,0,0,0,0,0,0,0,0,0,0
力量提升,5,力量提升,,5,0,0,0,0,0,0,0,0,0,0,0,0
射程提升,1,射程提升,,0,0,0,0,0,0.5,0,0,0,0,0,0,0
射程提升,2,射程提升,,0,0,0,0,0,1,0,0,0,0,0,0,0
射程提升,3,射程提升,,0,0,0,0,0,1.5,0,0,0,0,0,0,0
射程提升,4,射程提升,,0,0,0,0,0,2,0,0,0,0,0,0,0
射程提升,5,射程提升,,0,0,0,0,0,2.5,0,0,0,0,0,0,0
护甲强化,1,护甲强化,,0,0,0,0,1,0,0,0,0,0,0,0,0
护甲强化,2,护甲强化,,0,0,0,0,2,0,0,0,0,0,0,0,0
护甲强化,3,护甲强化,,0,0,0,0,3,0,0,0,0,0,0,0,0
护甲强化,4,护甲强化,,0,0,0,0,4,0,0,0,0,0,0,0,0
护甲强化,5,护甲强化,,0,0,0,0,5,0,0,0,0,0,0,0,0
拾取范围,1,拾取范围,,0,0,0,0,0,0,0.5,0,0,0,0,0,0
拾取范围,2,拾取范围,,0,0,0,0,0,0,1,0,0,0,0,0,0
拾取范围,3,拾取范围,,0,0,0,0,0,0,1.5,0,0,0,0,0,0
拾取范围,4,拾取范围,,0,0,0,0,0,0,2,0,0,0,0,0,0
拾取范围,5,拾取范围,,0,0,0,0,0,0,3,0,0,0,0,0,0
攻速提升,1,攻速提升,,0,0.2,0,0,0,0,0,0,0,0,0,0,0
攻速提升,2,攻速提升,,0,0.3,0,0,0,0,0,0,0,0,0,0,0
攻速提升,3,攻速提升,,0,0.4,0,0,0,0,0,0,0,0,0,0,0
攻速提升,4,攻速提升,,0,0.5,0,0,0,0,0,0,0,0,0,0,0
攻速提升,5,攻速提升,,0,0.6,0,0,0,0,0,0,0,0,0,0,0
生命提升,1,生命提升,,0,0,2,0,0,0,0,0,0,0,0,0,0
生命提升,2,生命提升,,0,0,4,0,0,0,0,0,0,0,0,0,0
生命提升,3,生命提升,,0,0,6,0,0,0,0,0,0,0,0,0,0
生命提升,4,生命提升,,0,0,8,0,0,0,0,0,0,0,0,0,0
生命提升,5,生命提升,,0,0,12,0,0,0,0,0,0,0,0,0,0
移速提升,1,移速提升,,0,0,0,1,0,0,0,0,0,0,0,0,0
移速提升,2,移速提升,,0,0,0,2,0,0,0,0,0,0,0,0,0
移速提升,3,移速提升,,0,0,0,3,0,0,0,0,0,0,0,0,0
移速提升,4,移速提升,,0,0,0,4,0,0,0,0,0,0,0,0,0
移速提升,5,移速提升,,0,0,0,5,0,0,0,0,0,0,0,0,0
闪避,1,闪避,闪避,0,0,0,0,0,0,0,5,0,0,0,0,0
闪避,2,闪避,闪避,0,0,0,0,0,0,0,10,0,0,0,0,0
闪避,3,闪避,闪避,0,0,0,0,0,0,0,15,0,0,0,0,0
闪避,4,闪避,闪避,0,0,0,0,0,0,0,20,0,0,0,0,0
闪避,5,闪避,闪避,0,0,0,0,0,0,0,30,0,0,0,0,0
关卡奖励,1,关卡奖励,关卡奖励,0,0,0,0,0,0,0,0,5,0,0,0,0
关卡奖励,2,关卡奖励,关卡奖励,0,0,0,0,0,0,0,0,10,0,0,0,0
关卡奖励,3,关卡奖励,关卡奖励,0,0,0,0,0,0,0,0,15,0,0,0,0
关卡奖励,4,关卡奖励,关卡奖励,0,0,0,0,0,0,0,0,20,0,0,0,0
关卡奖励,5,关卡奖励,关卡奖励,0,0,0,0,0,0,0,0,30,0,0,0,0
暴击率,1,暴击率,暴击率,0,0,0,0,0,0,0,0,0,5,0,0,0
暴击率,2,暴击率,暴击率,0,0,0,0,0,0,0,0,0,10,0,0,0
暴击率,3,暴击率,暴击率,0,0,0,0,0,0,0,0,0,15,0,0,0
暴击率,4,暴击率,暴击率,0,0,0,0,0,0,0,0,0,20,0,0,0
暴击率,5,暴击率,暴击率,0,0,0,0,0,0,0,0,0,30,0,0,0
暴击伤害,1,暴击伤害,暴击伤害,0,0,0,0,0,0,0,0,0,0,0.1,0,0
暴击伤害,2,暴击伤害,暴击伤害,0,0,0,0,0,0,0,0,0,0,0.2,0,0
暴击伤害,3,暴击伤害,暴击伤害,0,0,0,0,0,0,0,0,0,0,0.3,0,0
暴击伤害,4,暴击伤害,暴击伤害,0,0,0,0,0,0,0,0,0,0,0.4,0,0
暴击伤害,5,暴击伤害,暴击伤害,0,0,0,0,0,0,0,0,0,0,0.5,0,0
幸运,1,幸运,幸运,0,0,0,0,0,0,0,0,0,0,0,2,0
幸运,2,幸运,幸运,0,0,0,0,0,0,0,0,0,0,0,4,0
幸运,3,幸运,幸运,0,0,0,0,0,0,0,0,0,0,0,6,0
