AssetName,WeaponId,名称,类型,等级,基础价格,伤害,攻速,攻击范围,子弹速度,子弹寿命,下一等级Asset
Weapon_Gun_Lv1,gun_lv1,S12K,Ranged,1,2,10,1.2,10,20,5,Weapon_Gun_Lv2
Weapon_Gun_Lv2,gun_lv2,S12K,Ranged,2,4,16,1.2,12,20,5,Weapon_Gun_Lv3
Weapon_Gun_Lv3,gun_lv3,S12K,Ranged,3,8,30,1.2,13,20,5,Weapon_Gun_Lv4
Weapon_Gun_Lv4,gun_lv4,S12K,Ranged,4,16,10,1.2,14,20,5,Weapon_Gun_Lv5
Weapon_Gun_Lv5,gun_lv5,S12K,Ranged,5,50,10,1.2,15,20,5,
Weapon_Knife_Lv1,knife_lv1,小刀,Melee,1,5,5,1.2,2,20,5,Weapon_Knife_Lv2
Weapon_Knife_Lv2,knife_lv2,小刀,Melee,2,12,7,1.3,2.2,20,5,Weapon_Knife_Lv3
Weapon_Knife_Lv3,knife_lv3,小刀,Melee,3,18,9,1.4,2.4,20,5,Weapon_Knife_Lv4
Weapon_Knife_Lv4,knife_lv4,小刀,Melee,4,25,12,1.5,2.6,20,5,Weapon_Knife_Lv5
Weapon_Knife_Lv5,knife_lv5,小刀,Melee,5,40,24,1.6,2.8,20,5,
