关卡编号,W_Lv1,W_Lv2,W_Lv3,W_Lv4,W_Lv5,权重和
1,0.7,0.3,0,0,0,1
2,0.7,0.3,0,0,0,1
3,0.6,0.4,0,0,0,1
4,0.6,0.4,0,0,0,1
5,0.6,0.3,0.1,0,0,1
6,0.5,0.4,0.1,0,0,1
7,0.5,0.4,0.1,0,0,1
8,0.4,0.3,0.2,0.1,0,1
9,0.4,0.3,0.2,0.1,0,1
10,0.3,0.3,0.2,0.2,0,1
11,0.3,0.3,0.2,0.2,0,1
12,0.2,0.2,0.3,0.2,0.1,1
13,0.2,0.2,0.3,0.2,0.1,1
14,0.2,0.2,0.3,0.2,0.1,1
15,0.2,0.2,0.3,0.2,0.1,1
16,0.1,0.2,0.2,0.3,0.2,1
17,0.1,0.2,0.2,0.3,0.2,1
18,0.1,0.2,0.2,0.3,0.2,1
19,0.1,0.2,0.2,0.3,0.2,1
20,0.1,0.2,0.2,0.3,0.2,1
